timestamp,open,high,low,close,symbol
2019-07-26,0.01218000,0.01298000,0.01190000,0.01277000,MATICUSDT
2019-07-27,0.01275000,0.01327000,0.01173000,0.01198000,MATICUSDT
2019-07-28,0.01198000,0.01216000,0.01124000,0.01179000,MATICUSDT
2019-07-29,0.01173000,0.01196000,0.01126000,0.01133000,MATICUSDT
2019-07-30,0.01135000,0.01168000,0.01100000,0.01157000,MATICUSDT
2019-07-31,0.01151000,0.01166000,0.01112000,0.01131000,MATICUSDT
2019-08-01,0.01134000,0.01154000,0.01055000,0.01062000,MATICUSDT
2019-08-02,0.01061000,0.01155000,0.01041000,0.01109000,MATICUSDT
2019-08-03,0.01109000,0.01140000,0.01058000,0.01062000,MATICUSDT
2019-08-04,0.01062000,0.01099000,0.01013000,0.01022000,MATICUSDT
2019-08-05,0.01022000,0.01293000,0.00951000,0.01169000,MATICUSDT
2019-08-06,0.01168000,0.01736000,0.01164000,0.01531000,MATICUSDT
2019-08-07,0.01531000,0.02063000,0.01531000,0.01666000,MATICUSDT
2019-08-08,0.01669000,0.01764000,0.01416000,0.01453000,MATICUSDT
2019-08-09,0.01444000,0.01486000,0.01210000,0.01218000,MATICUSDT
2019-08-10,0.01215000,0.01549000,0.01213000,0.01497000,MATICUSDT
2019-08-11,0.01501000,0.01870000,0.01402000,0.01603000,MATICUSDT
2019-08-12,0.01609000,0.01820000,0.01582000,0.01691000,MATICUSDT
2019-08-13,0.01692000,0.01725000,0.01502000,0.01682000,MATICUSDT
2019-08-14,0.01682000,0.01737000,0.01454000,0.01475000,MATICUSDT
2019-08-15,0.01475000,0.01566000,0.01420000,0.01455000,MATICUSDT
2019-08-16,0.01458000,0.01472000,0.01316000,0.01330000,MATICUSDT
2019-08-17,0.01330000,0.01480000,0.01322000,0.01417000,MATICUSDT
2019-08-18,0.01416000,0.01455000,0.01360000,0.01390000,MATICUSDT
2019-08-19,0.01393000,0.01594000,0.01384000,0.01542000,MATICUSDT
2019-08-20,0.01543000,0.01599000,0.01481000,0.01578000,MATICUSDT
2019-08-21,0.01582000,0.01597000,0.01442000,0.01547000,MATICUSDT
2019-08-22,0.01551000,0.01713000,0.01465000,0.01672000,MATICUSDT
2019-08-23,0.01670000,0.01736000,0.01495000,0.01534000,MATICUSDT
2019-08-24,0.01536000,0.01545000,0.01420000,0.01483000,MATICUSDT
2019-08-25,0.01483000,0.01496000,0.01355000,0.01373000,MATICUSDT
2019-08-26,0.01368000,0.01473000,0.01366000,0.01392000,MATICUSDT
2019-08-27,0.01391000,0.01490000,0.01372000,0.01416000,MATICUSDT
2019-08-28,0.01417000,0.01461000,0.01275000,0.01291000,MATICUSDT
2019-08-29,0.01291000,0.01291000,0.01148000,0.01168000,MATICUSDT
2019-08-30,0.01168000,0.01245000,0.01155000,0.01232000,MATICUSDT
2019-08-31,0.01232000,0.01234000,0.01132000,0.01177000,MATICUSDT
2019-09-01,0.01175000,0.01236000,0.01152000,0.01217000,MATICUSDT
2019-09-02,0.01225000,0.01395000,0.01202000,0.01378000,MATICUSDT
2019-09-03,0.01374000,0.01500000,0.01275000,0.01433000,MATICUSDT
2019-09-04,0.01431000,0.01457000,0.01381000,0.01410000,MATICUSDT
2019-09-05,0.01411000,0.01520000,0.01403000,0.01487000,MATICUSDT
2019-09-06,0.01487000,0.01491000,0.01340000,0.01358000,MATICUSDT
2019-09-07,0.01356000,0.01408000,0.01347000,0.01379000,MATICUSDT
2019-09-08,0.01378000,0.01401000,0.01364000,0.01387000,MATICUSDT
2019-09-09,0.01387000,0.01464000,0.01297000,0.01410000,MATICUSDT
2019-09-10,0.01410000,0.01438000,0.01319000,0.01350000,MATICUSDT
2019-09-11,0.01351000,0.01372000,0.01285000,0.01310000,MATICUSDT
2019-09-12,0.01310000,0.01316000,0.01250000,0.01296000,MATICUSDT
2019-09-13,0.01294000,0.01322000,0.01267000,0.01293000,MATICUSDT
2019-09-14,0.01293000,0.01344000,0.01284000,0.01305000,MATICUSDT
2019-09-15,0.01304000,0.01324000,0.01259000,0.01283000,MATICUSDT
2019-09-16,0.01283000,0.01300000,0.01251000,0.01290000,MATICUSDT
2019-09-17,0.01290000,0.01388000,0.01276000,0.01348000,MATICUSDT
2019-09-18,0.01347000,0.01486000,0.01335000,0.01432000,MATICUSDT
2019-09-19,0.01432000,0.01443000,0.01291000,0.01366000,MATICUSDT
2019-09-20,0.01374000,0.01388000,0.01338000,0.01363000,MATICUSDT
2019-09-21,0.01362000,0.01366000,0.01313000,0.01331000,MATICUSDT
2019-09-22,0.01335000,0.01336000,0.01234000,0.01252000,MATICUSDT
2019-09-23,0.01252000,0.01305000,0.01215000,0.01224000,MATICUSDT
2019-09-24,0.01219000,0.01348000,0.01050000,0.01088000,MATICUSDT
2019-09-25,0.01095000,0.01180000,0.01037000,0.01098000,MATICUSDT
2019-09-26,0.01096000,0.01153000,0.01000000,0.01059000,MATICUSDT
2019-09-27,0.01067000,0.01100000,0.01033000,0.01082000,MATICUSDT
2019-09-28,0.01082000,0.01136000,0.01073000,0.01121000,MATICUSDT
2019-09-29,0.01123000,0.01128000,0.01062000,0.01087000,MATICUSDT
2019-09-30,0.01087000,0.01110000,0.01001000,0.01090000,MATICUSDT
2019-10-01,0.01089000,0.01112000,0.01055000,0.01069000,MATICUSDT
2019-10-02,0.01065000,0.01097000,0.01047000,0.01081000,MATICUSDT
2019-10-03,0.01081000,0.01092000,0.01039000,0.01054000,MATICUSDT
2019-10-04,0.01055000,0.01074000,0.01031000,0.01055000,MATICUSDT
2019-10-05,0.01055000,0.01064000,0.01038000,0.01048000,MATICUSDT
2019-10-06,0.01048000,0.01059000,0.01005000,0.01016000,MATICUSDT
2019-10-07,0.01013000,0.01112000,0.01003000,0.01091000,MATICUSDT
2019-10-08,0.01090000,0.01280000,0.01067000,0.01244000,MATICUSDT
2019-10-09,0.01243000,0.01450000,0.01230000,0.01444000,MATICUSDT
2019-10-10,0.01444000,0.01710000,0.01338000,0.01610000,MATICUSDT
2019-10-11,0.01610000,0.01766000,0.01529000,0.01580000,MATICUSDT
2019-10-12,0.01580000,0.01650000,0.01452000,0.01555000,MATICUSDT
2019-10-13,0.01555000,0.01568000,0.01408000,0.01494000,MATICUSDT
2019-10-14,0.01493000,0.01672000,0.01485000,0.01522000,MATICUSDT
2019-10-15,0.01523000,0.01539000,0.01411000,0.01437000,MATICUSDT
2019-10-16,0.01434000,0.01447000,0.01283000,0.01386000,MATICUSDT
2019-10-17,0.01386000,0.01458000,0.01348000,0.01425000,MATICUSDT
2019-10-18,0.01425000,0.01443000,0.01300000,0.01334000,MATICUSDT
2019-10-19,0.01333000,0.01389000,0.01302000,0.01376000,MATICUSDT
2019-10-20,0.01376000,0.01403000,0.01320000,0.01376000,MATICUSDT
2019-10-21,0.01380000,0.01516000,0.01354000,0.01491000,MATICUSDT
2019-10-22,0.01491000,0.01533000,0.01430000,0.01443000,MATICUSDT
2019-10-23,0.01443000,0.01463000,0.01259000,0.01326000,MATICUSDT
2019-10-24,0.01322000,0.01383000,0.01289000,0.01338000,MATICUSDT
2019-10-25,0.01338000,0.01474000,0.01300000,0.01435000,MATICUSDT
2019-10-26,0.01438000,0.01489000,0.01316000,0.01348000,MATICUSDT
2019-10-27,0.01348000,0.01464000,0.01333000,0.01402000,MATICUSDT
2019-10-28,0.01403000,0.01515000,0.01391000,0.01398000,MATICUSDT
2019-10-29,0.01399000,0.01443000,0.01378000,0.01409000,MATICUSDT
2019-10-30,0.01409000,0.01414000,0.01326000,0.01340000,MATICUSDT
2019-10-31,0.01341000,0.01388000,0.01324000,0.01360000,MATICUSDT
2019-11-01,0.01360000,0.01406000,0.01336000,0.01377000,MATICUSDT
2019-11-02,0.01377000,0.01390000,0.01340000,0.01353000,MATICUSDT
2019-11-03,0.01354000,0.01373000,0.01329000,0.01354000,MATICUSDT
2019-11-04,0.01354000,0.01461000,0.01351000,0.01432000,MATICUSDT
2019-11-05,0.01428000,0.01514000,0.01395000,0.01470000,MATICUSDT
2019-11-06,0.01465000,0.01486000,0.01430000,0.01447000,MATICUSDT
2019-11-07,0.01446000,0.01542000,0.01421000,0.01512000,MATICUSDT
2019-11-08,0.01512000,0.01546000,0.01379000,0.01432000,MATICUSDT
2019-11-09,0.01432000,0.01523000,0.01428000,0.01491000,MATICUSDT
2019-11-10,0.01489000,0.01600000,0.01479000,0.01571000,MATICUSDT
2019-11-11,0.01572000,0.01593000,0.01449000,0.01541000,MATICUSDT
2019-11-12,0.01543000,0.01563000,0.01450000,0.01487000,MATICUSDT
2019-11-13,0.01492000,0.01517000,0.01454000,0.01493000,MATICUSDT
2019-11-14,0.01495000,0.01502000,0.01423000,0.01443000,MATICUSDT
2019-11-15,0.01442000,0.01450000,0.01356000,0.01381000,MATICUSDT
2019-11-16,0.01381000,0.01445000,0.01369000,0.01445000,MATICUSDT
2019-11-17,0.01445000,0.01478000,0.01403000,0.01432000,MATICUSDT
2019-11-18,0.01430000,0.01449000,0.01361000,0.01404000,MATICUSDT
2019-11-19,0.01404000,0.01510000,0.01359000,0.01484000,MATICUSDT
2019-11-20,0.01485000,0.01502000,0.01414000,0.01434000,MATICUSDT
2019-11-21,0.01433000,0.01457000,0.01332000,0.01425000,MATICUSDT
2019-11-22,0.01427000,0.01440000,0.01215000,0.01403000,MATICUSDT
2019-11-23,0.01406000,0.01690000,0.01368000,0.01662000,MATICUSDT
2019-11-24,0.01662000,0.01770000,0.01504000,0.01515000,MATICUSDT
2019-11-25,0.01509000,0.02166000,0.01485000,0.02094000,MATICUSDT
2019-11-26,0.02094000,0.02295000,0.01994000,0.02171000,MATICUSDT
2019-11-27,0.02171000,0.02500000,0.02027000,0.02459000,MATICUSDT
2019-11-28,0.02458000,0.02580000,0.02221000,0.02267000,MATICUSDT
2019-11-29,0.02265000,0.02517000,0.02250000,0.02451000,MATICUSDT
2019-11-30,0.02448000,0.02960000,0.02411000,0.02890000,MATICUSDT
2019-12-01,0.02891000,0.02894000,0.02613000,0.02661000,MATICUSDT
2019-12-02,0.02661000,0.02728000,0.02484000,0.02637000,MATICUSDT
2019-12-03,0.02637000,0.03116000,0.02636000,0.02915000,MATICUSDT
2019-12-04,0.02920000,0.03267000,0.02776000,0.03180000,MATICUSDT
2019-12-05,0.03182000,0.03447000,0.03133000,0.03316000,MATICUSDT
2019-12-06,0.03308000,0.04198000,0.03225000,0.04136000,MATICUSDT
2019-12-07,0.04146000,0.04195000,0.03712000,0.03889000,MATICUSDT
2019-12-08,0.03879000,0.04270000,0.03806000,0.04150000,MATICUSDT
2019-12-09,0.04149000,0.04269000,0.03343000,0.03425000,MATICUSDT
2019-12-10,0.03424000,0.03483000,0.01124000,0.01725000,MATICUSDT
2019-12-11,0.01726000,0.01956000,0.01695000,0.01794000,MATICUSDT
2019-12-12,0.01794000,0.01813000,0.01532000,0.01572000,MATICUSDT
2019-12-13,0.01571000,0.01686000,0.01560000,0.01603000,MATICUSDT
2019-12-14,0.01603000,0.01627000,0.01319000,0.01359000,MATICUSDT
2019-12-15,0.01360000,0.01465000,0.01316000,0.01422000,MATICUSDT
2019-12-16,0.01421000,0.01462000,0.01290000,0.01320000,MATICUSDT
2019-12-17,0.01320000,0.01330000,0.01170000,0.01208000,MATICUSDT
2019-12-18,0.01210000,0.01350000,0.01126000,0.01270000,MATICUSDT
2019-12-19,0.01271000,0.01315000,0.01221000,0.01314000,MATICUSDT
2019-12-20,0.01314000,0.01585000,0.01312000,0.01557000,MATICUSDT
2019-12-21,0.01555000,0.01840000,0.01520000,0.01798000,MATICUSDT
2019-12-22,0.01798000,0.01998000,0.01500000,0.01614000,MATICUSDT
2019-12-23,0.01614000,0.01628000,0.01463000,0.01508000,MATICUSDT
2019-12-24,0.01508000,0.01619000,0.01476000,0.01613000,MATICUSDT
2019-12-25,0.01613000,0.01698000,0.01510000,0.01564000,MATICUSDT
2019-12-26,0.01562000,0.01635000,0.01525000,0.01566000,MATICUSDT
2019-12-27,0.01563000,0.01585000,0.01451000,0.01518000,MATICUSDT
2019-12-28,0.01519000,0.01546000,0.01492000,0.01494000,MATICUSDT
2019-12-29,0.01494000,0.01539000,0.01455000,0.01474000,MATICUSDT
2019-12-30,0.01473000,0.01496000,0.01420000,0.01427000,MATICUSDT
2019-12-31,0.01428000,0.01451000,0.01366000,0.01379000,MATICUSDT
2020-01-01,0.01379000,0.01550000,0.01375000,0.01496000,MATICUSDT
2020-01-02,0.01498000,0.01578000,0.01428000,0.01467000,MATICUSDT
2020-01-03,0.01466000,0.01543000,0.01417000,0.01512000,MATICUSDT
2020-01-04,0.01513000,0.01549000,0.01473000,0.01484000,MATICUSDT
2020-01-05,0.01482000,0.01516000,0.01464000,0.01483000,MATICUSDT
2020-01-06,0.01482000,0.01595000,0.01476000,0.01554000,MATICUSDT
2020-01-07,0.01556000,0.01569000,0.01476000,0.01509000,MATICUSDT
2020-01-08,0.01508000,0.01532000,0.01469000,0.01499000,MATICUSDT
2020-01-09,0.01500000,0.01514000,0.01442000,0.01459000,MATICUSDT
2020-01-10,0.01459000,0.01497000,0.01423000,0.01486000,MATICUSDT
2020-01-11,0.01486000,0.01510000,0.01471000,0.01479000,MATICUSDT
2020-01-12,0.01478000,0.01520000,0.01466000,0.01496000,MATICUSDT
2020-01-13,0.01497000,0.01565000,0.01476000,0.01548000,MATICUSDT
2020-01-14,0.01548000,0.01605000,0.01520000,0.01564000,MATICUSDT
2020-01-15,0.01563000,0.01704000,0.01546000,0.01639000,MATICUSDT
2020-01-16,0.01640000,0.01645000,0.01542000,0.01614000,MATICUSDT
2020-01-17,0.01613000,0.01926000,0.01576000,0.01870000,MATICUSDT
2020-01-18,0.01870000,0.01886000,0.01721000,0.01748000,MATICUSDT
2020-01-19,0.01747000,0.01779000,0.01584000,0.01643000,MATICUSDT
2020-01-20,0.01644000,0.01723000,0.01602000,0.01685000,MATICUSDT
2020-01-21,0.01686000,0.01745000,0.01616000,0.01713000,MATICUSDT
2020-01-22,0.01715000,0.01724000,0.01672000,0.01708000,MATICUSDT
2020-01-23,0.01710000,0.01711000,0.01569000,0.01605000,MATICUSDT
2020-01-24,0.01605000,0.01646000,0.01531000,0.01622000,MATICUSDT
2020-01-25,0.01622000,0.01642000,0.01576000,0.01602000,MATICUSDT
2020-01-26,0.01600000,0.01666000,0.01592000,0.01645000,MATICUSDT
2020-01-27,0.01648000,0.01737000,0.01647000,0.01690000,MATICUSDT
2020-01-28,0.01690000,0.01735000,0.01649000,0.01714000,MATICUSDT
2020-01-29,0.01715000,0.01725000,0.01673000,0.01704000,MATICUSDT
2020-01-30,0.01704000,0.01871000,0.01685000,0.01859000,MATICUSDT
2020-01-31,0.01859000,0.01885000,0.01769000,0.01795000,MATICUSDT
2020-02-01,0.01790000,0.01842000,0.01780000,0.01829000,MATICUSDT
2020-02-02,0.01829000,0.01970000,0.01780000,0.01903000,MATICUSDT
2020-02-03,0.01903000,0.02250000,0.01886000,0.02199000,MATICUSDT
2020-02-04,0.02199000,0.02266000,0.02020000,0.02098000,MATICUSDT
2020-02-05,0.02102000,0.02223000,0.02077000,0.02155000,MATICUSDT
2020-02-06,0.02154000,0.02492000,0.02150000,0.02449000,MATICUSDT
2020-02-07,0.02448000,0.02518000,0.02280000,0.02300000,MATICUSDT
2020-02-08,0.02300000,0.02305000,0.01945000,0.02123000,MATICUSDT
2020-02-09,0.02121000,0.02230000,0.02070000,0.02197000,MATICUSDT
2020-02-10,0.02190000,0.02230000,0.02028000,0.02159000,MATICUSDT
2020-02-11,0.02157000,0.02292000,0.02081000,0.02290000,MATICUSDT
2020-02-12,0.02291000,0.02455000,0.02240000,0.02280000,MATICUSDT
2020-02-13,0.02282000,0.02373000,0.02172000,0.02233000,MATICUSDT
2020-02-14,0.02232000,0.02383000,0.02217000,0.02326000,MATICUSDT
2020-02-15,0.02327000,0.02372000,0.02000000,0.02090000,MATICUSDT
2020-02-16,0.02091000,0.02181000,0.01859000,0.02011000,MATICUSDT
2020-02-17,0.02009000,0.02022000,0.01876000,0.02009000,MATICUSDT
2020-02-18,0.02010000,0.02196000,0.01966000,0.02151000,MATICUSDT
2020-02-19,0.02154000,0.02200000,0.01925000,0.01996000,MATICUSDT
2020-02-20,0.01994000,0.02073000,0.01905000,0.02071000,MATICUSDT
2020-02-21,0.02068000,0.02190000,0.02028000,0.02074000,MATICUSDT
2020-02-22,0.02075000,0.02115000,0.02027000,0.02076000,MATICUSDT
2020-02-23,0.02076000,0.02300000,0.02072000,0.02229000,MATICUSDT
2020-02-24,0.02228000,0.02236000,0.02000000,0.02078000,MATICUSDT
2020-02-25,0.02075000,0.02083000,0.01868000,0.01907000,MATICUSDT
2020-02-26,0.01903000,0.01947000,0.01676000,0.01841000,MATICUSDT
2020-02-27,0.01842000,0.01990000,0.01746000,0.01962000,MATICUSDT
2020-02-28,0.01964000,0.02043000,0.01786000,0.02020000,MATICUSDT
2020-02-29,0.02020000,0.02120000,0.01981000,0.02015000,MATICUSDT
2020-03-01,0.02015000,0.02108000,0.01874000,0.01935000,MATICUSDT
2020-03-02,0.01934000,0.02168000,0.01901000,0.02144000,MATICUSDT
2020-03-03,0.02145000,0.02400000,0.02047000,0.02344000,MATICUSDT
2020-03-04,0.02344000,0.02737000,0.02339000,0.02511000,MATICUSDT
2020-03-05,0.02511000,0.02796000,0.02495000,0.02639000,MATICUSDT
2020-03-06,0.02636000,0.02644000,0.02430000,0.02497000,MATICUSDT
2020-03-07,0.02498000,0.02922000,0.02491000,0.02679000,MATICUSDT
2020-03-08,0.02679000,0.02680000,0.02100000,0.02143000,MATICUSDT
2020-03-09,0.02148000,0.02261000,0.01867000,0.02053000,MATICUSDT
2020-03-10,0.02053000,0.02239000,0.01988000,0.02061000,MATICUSDT
2020-03-11,0.02060000,0.02149000,0.01723000,0.01899000,MATICUSDT
2020-03-12,0.01898000,0.01921000,0.00845000,0.00914000,MATICUSDT
2020-03-13,0.00935000,0.01208000,0.00632000,0.01087000,MATICUSDT
2020-03-14,0.01082000,0.01137000,0.00952000,0.00983000,MATICUSDT
2020-03-15,0.00983000,0.01150000,0.00939000,0.00986000,MATICUSDT
2020-03-16,0.00986000,0.00986000,0.00674000,0.00813000,MATICUSDT
2020-03-17,0.00815000,0.00988000,0.00797000,0.00921000,MATICUSDT
2020-03-18,0.00921000,0.00930000,0.00810000,0.00912000,MATICUSDT
2020-03-19,0.00913000,0.01187000,0.00896000,0.01121000,MATICUSDT
2020-03-20,0.01122000,0.01290000,0.00960000,0.01085000,MATICUSDT
2020-03-21,0.01085000,0.01239000,0.01000000,0.01121000,MATICUSDT
2020-03-22,0.01119000,0.01167000,0.00983000,0.01005000,MATICUSDT
2020-03-23,0.01005000,0.01152000,0.00981000,0.01114000,MATICUSDT
2020-03-24,0.01117000,0.01193000,0.01078000,0.01126000,MATICUSDT
2020-03-25,0.01126000,0.01163000,0.01071000,0.01147000,MATICUSDT
2020-03-26,0.01147000,0.01218000,0.01128000,0.01187000,MATICUSDT
2020-03-27,0.01187000,0.01220000,0.01055000,0.01076000,MATICUSDT
2020-03-28,0.01078000,0.01080000,0.01000000,0.01062000,MATICUSDT
2020-03-29,0.01063000,0.01068000,0.01001000,0.01001000,MATICUSDT
2020-03-30,0.01001000,0.01113000,0.01001000,0.01068000,MATICUSDT
2020-03-31,0.01068000,0.01125000,0.01063000,0.01097000,MATICUSDT
2020-04-01,0.01099000,0.01140000,0.01049000,0.01122000,MATICUSDT
2020-04-02,0.01123000,0.01218000,0.01115000,0.01153000,MATICUSDT
2020-04-03,0.01153000,0.01199000,0.01123000,0.01158000,MATICUSDT
2020-04-04,0.01157000,0.01194000,0.01132000,0.01171000,MATICUSDT
2020-04-05,0.01170000,0.01175000,0.01125000,0.01142000,MATICUSDT
2020-04-06,0.01140000,0.01359000,0.01140000,0.01351000,MATICUSDT
2020-04-07,0.01349000,0.01396000,0.01266000,0.01294000,MATICUSDT
2020-04-08,0.01293000,0.01392000,0.01275000,0.01373000,MATICUSDT
2020-04-09,0.01376000,0.01404000,0.01296000,0.01350000,MATICUSDT
2020-04-10,0.01349000,0.01351000,0.01146000,0.01200000,MATICUSDT
2020-04-11,0.01200000,0.01262000,0.01181000,0.01223000,MATICUSDT
2020-04-12,0.01223000,0.01294000,0.01185000,0.01222000,MATICUSDT
2020-04-13,0.01219000,0.01225000,0.01150000,0.01199000,MATICUSDT
2020-04-14,0.01199000,0.01249000,0.01172000,0.01208000,MATICUSDT
2020-04-15,0.01210000,0.01227000,0.01159000,0.01164000,MATICUSDT
2020-04-16,0.01163000,0.01283000,0.01124000,0.01260000,MATICUSDT
2020-04-17,0.01262000,0.01305000,0.01242000,0.01274000,MATICUSDT
