timestamp,open,high,low,close,symbol
2020-08-11,0.11000000,5.00000000,0.11000000,1.56290000,SRMUSDT
2020-08-12,1.56090000,1.98500000,1.55500000,1.66580000,SRMUSDT
2020-08-13,1.66090000,2.23000000,1.62000000,2.00680000,SRMUSDT
2020-08-14,2.00660000,2.14690000,1.80000000,1.85740000,SRMUSDT
2020-08-15,1.86000000,1.92870000,1.64000000,1.66510000,SRMUSDT
2020-08-16,1.66290000,1.85000000,1.51730000,1.73000000,SRMUSDT
2020-08-17,1.73130000,1.78690000,1.62500000,1.65030000,SRMUSDT
2020-08-18,1.65040000,1.79980000,1.52520000,1.67140000,SRMUSDT
2020-08-19,1.66690000,1.77000000,1.55000000,1.59930000,SRMUSDT
2020-08-20,1.59940000,1.78900000,1.59500000,1.77480000,SRMUSDT
2020-08-21,1.77110000,1.77400000,1.50000000,1.50980000,SRMUSDT
2020-08-22,1.50980000,1.56560000,1.41000000,1.54250000,SRMUSDT
2020-08-23,1.54450000,1.59610000,1.46570000,1.53070000,SRMUSDT
2020-08-24,1.53070000,1.84560000,1.50280000,1.83540000,SRMUSDT
2020-08-25,1.83540000,1.87790000,1.57100000,1.67210000,SRMUSDT
2020-08-26,1.67210000,2.10700000,1.64610000,2.07030000,SRMUSDT
2020-08-27,2.07020000,2.60000000,2.02050000,2.53950000,SRMUSDT
2020-08-28,2.53440000,2.80000000,2.32030000,2.41490000,SRMUSDT
2020-08-29,2.41320000,2.97000000,2.28000000,2.82300000,SRMUSDT
2020-08-30,2.82200000,2.97160000,2.64340000,2.88820000,SRMUSDT
2020-08-31,2.88480000,3.60000000,2.62900000,3.29050000,SRMUSDT
2020-09-01,3.29060000,3.79480000,3.11000000,3.12000000,SRMUSDT
2020-09-02,3.12000000,3.67000000,2.75000000,3.58720000,SRMUSDT
2020-09-03,3.58050000,3.61030000,2.84300000,2.88810000,SRMUSDT
2020-09-04,2.88830000,3.30000000,2.52310000,2.88900000,SRMUSDT
2020-09-05,2.89140000,3.14950000,1.96860000,2.20510000,SRMUSDT
2020-09-06,2.20510000,2.71200000,1.95660000,2.60240000,SRMUSDT
2020-09-07,2.60020000,2.70690000,2.03000000,2.43880000,SRMUSDT
2020-09-08,2.43470000,2.47300000,2.07000000,2.13150000,SRMUSDT
2020-09-09,2.13240000,2.59500000,2.06900000,2.45750000,SRMUSDT
2020-09-10,2.45800000,2.56970000,2.25920000,2.28640000,SRMUSDT
2020-09-11,2.28640000,2.40970000,2.18000000,2.38370000,SRMUSDT
2020-09-12,2.38400000,2.48460000,2.25000000,2.41240000,SRMUSDT
2020-09-13,2.41010000,2.64700000,2.20500000,2.38000000,SRMUSDT
2020-09-14,2.38000000,2.54820000,2.23550000,2.39840000,SRMUSDT
2020-09-15,2.39840000,2.52000000,2.00230000,2.03740000,SRMUSDT
2020-09-16,2.03740000,2.04100000,1.75050000,1.82340000,SRMUSDT
2020-09-17,1.82340000,1.98310000,1.80000000,1.93990000,SRMUSDT
2020-09-18,1.93780000,2.28000000,1.90000000,2.11000000,SRMUSDT
2020-09-19,2.10710000,2.14710000,1.95410000,2.01190000,SRMUSDT
2020-09-20,2.01190000,2.01240000,1.80100000,1.88390000,SRMUSDT
2020-09-21,1.88630000,1.93000000,1.61740000,1.73480000,SRMUSDT
2020-09-22,1.73810000,1.87980000,1.66170000,1.85810000,SRMUSDT
2020-09-23,1.85990000,1.90020000,1.74000000,1.75010000,SRMUSDT
2020-09-24,1.74980000,1.99900000,1.73510000,1.97790000,SRMUSDT
2020-09-25,1.97770000,2.04800000,1.83000000,1.96900000,SRMUSDT
2020-09-26,1.96980000,2.00700000,1.85090000,1.89550000,SRMUSDT
2020-09-27,1.89380000,1.92540000,1.81010000,1.88310000,SRMUSDT
2020-09-28,1.88360000,1.89550000,1.76200000,1.78310000,SRMUSDT
