timestamp,open,high,low,close,volume,symbol
2020-07-17,0.00099900,0.01303000,0.00099900,0.00157500,8057639169.00000000,VTHOUSDT
2020-07-18,0.00157600,0.00171700,0.00143500,0.00145900,2100131099.00000000,VTHOUSDT
2020-07-19,0.00145800,0.00154000,0.00136100,0.00141000,1623568922.00000000,VTHOUSDT
2020-07-20,0.00141900,0.00144100,0.00123600,0.00130600,1336596754.00000000,VTHOUSDT
2020-07-21,0.00130600,0.00135000,0.00125200,0.00129500,601448428.00000000,VTHOUSDT
2020-07-22,0.00130000,0.00160000,0.00129500,0.00148500,2276175023.00000000,VTHOUSDT
2020-07-23,0.00148400,0.00189900,0.00146000,0.00181700,2984641591.00000000,VTHOUSDT
2020-07-24,0.00181800,0.00250000,0.00181700,0.00215000,8907415266.00000000,VTHOUSDT
2020-07-25,0.00215000,0.00239800,0.00198900,0.00210200,3320741065.00000000,VTHOUSDT
2020-07-26,0.00210100,0.00220000,0.00185000,0.00199400,2035264740.00000000,VTHOUSDT
2020-07-27,0.00199300,0.00199400,0.00152500,0.00160200,2388052894.00000000,VTHOUSDT
2020-07-28,0.00160200,0.00188000,0.00155000,0.00178500,1593847170.00000000,VTHOUSDT
2020-07-29,0.00178500,0.00178500,0.00162800,0.00173800,1154164269.00000000,VTHOUSDT
2020-07-30,0.00173700,0.00183800,0.00161900,0.00170600,943822692.00000000,VTHOUSDT
2020-07-31,0.00170600,0.00182400,0.00167700,0.00171000,1042881840.00000000,VTHOUSDT
2020-08-01,0.00170900,0.00173100,0.00160200,0.00162300,894430077.00000000,VTHOUSDT
2020-08-02,0.00162300,0.00167800,0.00150400,0.00153800,850101978.00000000,VTHOUSDT
2020-08-03,0.00153800,0.00175000,0.00147400,0.00159800,1065753762.00000000,VTHOUSDT
2020-08-04,0.00159800,0.00165900,0.00157700,0.00162800,664635101.00000000,VTHOUSDT
2020-08-05,0.00162600,0.00166900,0.00155600,0.00158300,733503930.00000000,VTHOUSDT
2020-08-06,0.00158300,0.00164500,0.00157500,0.00161900,1053542771.00000000,VTHOUSDT
2020-08-07,0.00162000,0.00164000,0.00151700,0.00156700,736973611.00000000,VTHOUSDT
2020-08-08,0.00156700,0.00162500,0.00154200,0.00160900,791554065.00000000,VTHOUSDT
2020-08-09,0.00160100,0.00170900,0.00157700,0.00163800,1092817449.00000000,VTHOUSDT
2020-08-10,0.00163800,0.00165700,0.00156000,0.00161500,1048082701.00000000,VTHOUSDT
2020-08-11,0.00161500,0.00162000,0.00147500,0.00152400,895749175.00000000,VTHOUSDT
2020-08-12,0.00152400,0.00154600,0.00143400,0.00149900,764101035.00000000,VTHOUSDT
2020-08-13,0.00150400,0.00150500,0.00140000,0.00146000,663158067.00000000,VTHOUSDT
2020-08-14,0.00146000,0.00148500,0.00141200,0.00145200,741738946.00000000,VTHOUSDT
2020-08-15,0.00145400,0.00146600,0.00137000,0.00139100,539539925.00000000,VTHOUSDT
