timestamp,open,high,low,close,volume,symbol
2020-09-11,10.00000000,10.08500000,9.77200000,9.90900000,587.96000000,XRPDOWNUSDT
2020-09-12,9.92700000,10.11200000,9.29300000,9.36600000,1523.44000000,XRPDOWNUSDT
2020-09-13,9.28500000,10.37000000,8.84200000,9.98900000,2857.94000000,XRPDOWNUSDT
2020-09-14,10.04400000,10.18200000,9.27500000,9.60100000,5059.89000000,XRPDOWNUSDT
2020-09-15,9.51600000,9.91700000,9.23800000,9.85100000,3613.20000000,XRPDOWNUSDT
2020-09-16,9.88000000,10.72100000,9.10600000,9.39700000,3436.41000000,XRPDOWNUSDT
2020-09-17,9.12200000,9.50000000,8.30800000,8.96800000,4769.98000000,XRPDOWNUSDT
2020-09-18,9.02000000,9.48500000,8.57100000,9.24600000,1496.54000000,XRPDOWNUSDT
2020-09-19,9.20600000,9.34400000,8.65800000,9.00600000,5300.68000000,XRPDOWNUSDT
2020-09-20,9.15600000,9.89600000,9.15300000,9.57200000,1094.28000000,XRPDOWNUSDT
2020-09-21,9.66500000,11.27100000,9.37800000,11.11900000,11825.41000000,XRPDOWNUSDT
2020-09-22,11.20000000,11.30000000,10.74200000,10.85500000,4715.70000000,XRPDOWNUSDT
2020-09-23,10.97900000,12.25500000,10.81800000,12.21200000,6577.02000000,XRPDOWNUSDT
2020-09-24,12.35100000,12.35100000,10.87300000,10.98200000,4337.28000000,XRPDOWNUSDT
2020-09-25,11.13600000,11.28500000,9.72400000,10.10300000,12474.71000000,XRPDOWNUSDT
2020-09-26,9.90700000,10.38300000,9.62500000,10.03500000,1122.36000000,XRPDOWNUSDT
2020-09-27,9.94100000,10.39600000,9.71500000,9.90800000,1233.67000000,XRPDOWNUSDT
2020-09-28,9.82000000,10.10500000,9.38600000,10.10500000,1049.33000000,XRPDOWNUSDT
2020-09-29,10.10400000,10.35100000,9.60300000,9.93300000,524.42000000,XRPDOWNUSDT
2020-09-30,10.27100000,10.27500000,10.01700000,10.27500000,138.10000000,XRPDOWNUSDT
2020-10-01,10.00100000,10.72900000,9.78900000,10.54100000,3611.53000000,XRPDOWNUSDT
2020-10-02,10.54100000,11.34200000,10.35000000,10.83500000,13318.49000000,XRPDOWNUSDT
2020-10-03,10.83800000,10.98700000,10.80000000,10.92300000,2165.36000000,XRPDOWNUSDT
2020-10-04,11.00400000,11.10800000,9.22000000,9.44100000,16603.99000000,XRPDOWNUSDT
2020-10-05,9.39100000,9.56500000,8.80000000,9.08100000,21272.49000000,XRPDOWNUSDT
2020-10-06,9.01500000,9.89000000,8.39600000,9.60000000,48584.88000000,XRPDOWNUSDT
2020-10-07,9.53200000,9.80200000,9.05400000,9.23400000,17217.84000000,XRPDOWNUSDT
2020-10-08,9.34100000,9.75400000,8.89400000,9.00500000,5824.48000000,XRPDOWNUSDT
2020-10-09,9.03600000,9.13400000,8.60600000,9.06700000,12066.49000000,XRPDOWNUSDT
2020-10-10,8.80800000,8.87700000,8.26800000,8.56900000,2095.49000000,XRPDOWNUSDT
2020-10-11,8.85300000,8.85400000,8.44600000,8.63900000,1462.07000000,XRPDOWNUSDT
2020-10-12,8.68600000,9.18800000,8.45000000,8.62900000,22643.47000000,XRPDOWNUSDT
2020-10-13,8.59300000,8.79100000,8.33900000,8.64200000,5177.04000000,XRPDOWNUSDT
2020-10-14,8.55600000,9.25000000,8.46400000,9.07200000,6612.50000000,XRPDOWNUSDT
2020-10-15,9.04800000,9.67500000,9.02600000,9.27400000,6621.91000000,XRPDOWNUSDT
2020-10-16,9.28500000,10.18600000,9.28500000,9.92000000,4949.19000000,XRPDOWNUSDT
2020-10-17,9.95000000,9.95000000,9.76500000,9.84100000,1029.19000000,XRPDOWNUSDT
2020-10-18,9.83300000,9.87900000,9.67600000,9.79700000,2949.47000000,XRPDOWNUSDT
2020-10-19,9.73100000,9.97400000,9.14100000,9.42200000,11053.53000000,XRPDOWNUSDT
2020-10-20,9.43400000,9.84200000,8.99100000,9.72200000,10190.99000000,XRPDOWNUSDT
2020-10-21,9.63900000,9.64800000,8.53600000,8.98400000,9398.21000000,XRPDOWNUSDT
2020-10-22,8.88700000,9.04700000,7.80000000,8.44900000,62614.90000000,XRPDOWNUSDT
2020-10-23,8.61500000,9.05600000,8.25700000,8.71000000,6390.88000000,XRPDOWNUSDT
2020-10-24,8.77300000,8.78000000,8.39600000,8.49000000,6463.68000000,XRPDOWNUSDT
2020-10-25,8.65200000,9.02300000,8.44800000,8.89300000,3728.80000000,XRPDOWNUSDT
2020-10-26,8.62500000,9.75100000,8.28400000,9.34200000,1427.10000000,XRPDOWNUSDT
2020-10-27,9.31600000,9.31600000,8.79400000,8.87600000,6231.39000000,XRPDOWNUSDT
2020-10-28,8.87800000,9.68000000,8.55200000,9.43400000,6599.53000000,XRPDOWNUSDT
2020-10-29,9.59200000,10.08900000,9.39500000,9.92700000,5549.18000000,XRPDOWNUSDT
2020-10-30,9.87300000,11.03500000,9.76100000,10.23800000,9442.33000000,XRPDOWNUSDT
2020-10-31,10.26600000,10.35900000,9.79000000,10.15500000,1107.66000000,XRPDOWNUSDT
2020-11-01,10.15000000,10.39400000,9.96900000,10.11700000,1342.40000000,XRPDOWNUSDT
2020-11-02,10.03200000,10.77900000,9.64400000,10.47900000,5120.43000000,XRPDOWNUSDT
2020-11-03,10.54700000,11.39700000,9.60100000,10.12900000,22866.26000000,XRPDOWNUSDT
2020-11-04,10.15900000,10.93200000,10.14400000,10.33300000,4671.42000000,XRPDOWNUSDT
2020-11-05,10.25900000,10.38700000,9.23200000,9.45800000,16930.06000000,XRPDOWNUSDT
2020-11-06,9.37600000,9.39800000,7.65200000,8.03600000,37280.38000000,XRPDOWNUSDT
2020-11-07,7.93100000,8.71400000,7.09100000,8.41000000,24187.47000000,XRPDOWNUSDT
2020-11-08,8.45900000,8.49900000,7.84300000,8.17600000,6334.90000000,XRPDOWNUSDT
