timestamp,open,high,low,close,volume,symbol
2020-10-06,4.00000000,9.48200000,1.15900000,3.46000000,13988006.65000000,XVSUSDT
2020-10-07,3.46100000,3.52000000,2.44000000,2.73200000,3413753.27500000,XVSUSDT
2020-10-08,2.72000000,3.08200000,2.55000000,2.70300000,1695888.46900000,XVSUSDT
2020-10-09,2.70300000,2.93000000,2.60300000,2.76500000,1271917.05500000,XVSUSDT
2020-10-10,2.76500000,2.84800000,2.47500000,2.51600000,976146.28200000,XVSUSDT
2020-10-11,2.52400000,2.56800000,2.27200000,2.46500000,927452.73800000,XVSUSDT
2020-10-12,2.46500000,2.64900000,2.35800000,2.38900000,1014956.89200000,XVSUSDT
2020-10-13,2.38900000,3.35000000,2.21300000,2.72500000,1975168.96700000,XVSUSDT
2020-10-14,2.72600000,3.26200000,2.59000000,2.60600000,2824137.66400000,XVSUSDT
2020-10-15,2.60600000,2.97200000,2.54300000,2.74100000,1283909.66400000,XVSUSDT
2020-10-16,2.73800000,3.30000000,2.70000000,3.15100000,1581557.22600000,XVSUSDT
2020-10-17,3.16000000,4.88800000,3.08000000,4.26000000,5498566.94600000,XVSUSDT
2020-10-18,4.25100000,4.78500000,3.37300000,3.53400000,2767905.10200000,XVSUSDT
2020-10-19,3.54300000,3.73000000,3.23000000,3.23900000,1383756.78200000,XVSUSDT
2020-10-20,3.25600000,3.38300000,2.75100000,2.94400000,1580536.77500000,XVSUSDT
2020-10-21,2.93200000,4.10000000,2.86000000,3.85600000,3276819.75500000,XVSUSDT
2020-10-22,3.84800000,4.00000000,3.25700000,3.36500000,1441322.92600000,XVSUSDT
2020-10-23,3.36700000,3.63000000,3.14000000,3.17100000,822604.80100000,XVSUSDT
2020-10-24,3.17500000,3.57600000,3.10100000,3.51400000,665981.89900000,XVSUSDT
2020-10-25,3.51600000,3.80000000,3.18800000,3.60700000,850882.86800000,XVSUSDT
2020-10-26,3.60800000,4.05000000,3.07000000,3.22700000,2465421.89500000,XVSUSDT
2020-10-27,3.22700000,3.36000000,2.93100000,3.06000000,883797.45900000,XVSUSDT
2020-10-28,3.06000000,3.25200000,2.86500000,2.88800000,613253.51800000,XVSUSDT
2020-10-29,2.89500000,3.47000000,2.56100000,2.95000000,1884859.77200000,XVSUSDT
2020-10-30,2.95200000,3.09800000,2.73800000,2.82600000,629851.89400000,XVSUSDT
2020-10-31,2.82800000,2.99700000,2.65100000,2.67000000,437359.05200000,XVSUSDT
2020-11-01,2.65900000,2.73800000,2.55600000,2.65500000,310881.96400000,XVSUSDT
2020-11-02,2.66400000,3.18000000,2.35100000,2.44600000,1872334.89900000,XVSUSDT
2020-11-03,2.43900000,2.55300000,2.15000000,2.24500000,757786.62400000,XVSUSDT
2020-11-04,2.23800000,2.26100000,2.05800000,2.16900000,338031.41400000,XVSUSDT
2020-11-05,2.16200000,2.59800000,2.15400000,2.42400000,787948.69900000,XVSUSDT
2020-11-06,2.42500000,2.79200000,2.39200000,2.61500000,884946.85500000,XVSUSDT
2020-11-07,2.62400000,3.27500000,2.47000000,2.76000000,1293390.14500000,XVSUSDT
2020-11-08,2.75600000,3.10000000,2.72200000,2.93600000,561135.44200000,XVSUSDT
2020-11-09,2.93500000,3.06500000,2.65600000,2.97000000,593787.98100000,XVSUSDT
2020-11-10,2.96700000,3.17900000,2.79700000,3.08400000,551146.98600000,XVSUSDT
2020-11-11,3.08300000,3.61300000,3.06900000,3.17300000,1290673.41700000,XVSUSDT
2020-11-12,3.17500000,3.56000000,3.08000000,3.18400000,721806.34500000,XVSUSDT
2020-11-13,3.18500000,3.79500000,3.18300000,3.66000000,571968.09900000,XVSUSDT
2020-11-14,3.66800000,3.97700000,3.37100000,3.87400000,787382.56600000,XVSUSDT
2020-11-15,3.87300000,4.41700000,3.73400000,4.21200000,987889.31700000,XVSUSDT
2020-11-16,4.21500000,5.27700000,4.05000000,5.09300000,1366794.73100000,XVSUSDT
2020-11-17,5.07400000,5.39000000,3.80100000,4.41200000,1835401.88200000,XVSUSDT
2020-11-18,4.40700000,4.48200000,3.65000000,4.14500000,1132305.96800000,XVSUSDT
2020-11-19,4.15100000,4.43200000,3.91800000,3.97900000,949817.66300000,XVSUSDT
2020-11-20,3.97900000,4.21400000,3.85200000,3.89800000,758999.88800000,XVSUSDT
2020-11-21,3.89800000,4.11900000,3.68200000,4.11800000,713098.30800000,XVSUSDT
2020-11-22,4.09800000,4.20100000,3.62000000,3.76200000,640018.56700000,XVSUSDT
2020-11-23,3.76200000,4.20000000,3.69800000,3.93900000,778122.41200000,XVSUSDT
2020-11-24,3.94000000,3.97000000,3.01000000,3.24600000,1859611.06700000,XVSUSDT
2020-11-25,3.26500000,3.66000000,2.92900000,3.29100000,1704827.76000000,XVSUSDT
2020-11-26,3.28500000,3.46400000,2.47000000,3.01500000,1599666.48900000,XVSUSDT
2020-11-27,3.01500000,3.23200000,2.76800000,2.97400000,722971.63600000,XVSUSDT
2020-11-28,2.97500000,3.46900000,2.84700000,3.37700000,852150.46400000,XVSUSDT
2020-11-29,3.38000000,3.38400000,2.75000000,3.04500000,1285706.43600000,XVSUSDT
2020-11-30,3.03700000,3.16000000,2.90000000,3.00200000,716202.88700000,XVSUSDT
2020-12-01,3.00200000,3.50000000,2.91900000,3.11800000,1163903.42500000,XVSUSDT
2020-12-02,3.12200000,3.47000000,3.04000000,3.36600000,658719.23700000,XVSUSDT
2020-12-03,3.35800000,3.44300000,3.16700000,3.22300000,641183.26000000,XVSUSDT
2020-12-04,3.21400000,3.31000000,2.99100000,3.06900000,474330.68000000,XVSUSDT
2020-12-05,3.06800000,3.16800000,2.99000000,3.15600000,247963.52700000,XVSUSDT
2020-12-06,3.15600000,3.17300000,2.93500000,2.99600000,363900.61800000,XVSUSDT
2020-12-07,2.99900000,3.60700000,2.93400000,3.46400000,1059636.38500000,XVSUSDT
2020-12-08,3.46400000,4.78600000,3.27000000,3.80300000,4137601.75700000,XVSUSDT
2020-12-09,3.81600000,4.18500000,3.51500000,3.79000000,1625917.02400000,XVSUSDT
2020-12-10,3.79100000,4.12000000,3.60000000,3.95200000,917085.82200000,XVSUSDT
2020-12-11,3.95200000,4.00800000,3.20400000,3.34300000,1030593.68100000,XVSUSDT
2020-12-12,3.33100000,3.83400000,3.32500000,3.60700000,759844.63900000,XVSUSDT
2020-12-13,3.60700000,3.75000000,3.46000000,3.50500000,530194.68200000,XVSUSDT
2020-12-14,3.50500000,3.55200000,3.30000000,3.46700000,613117.27200000,XVSUSDT
2020-12-15,3.46800000,3.75600000,3.36000000,3.53500000,850662.11200000,XVSUSDT
2020-12-16,3.54000000,3.72000000,3.27000000,3.60500000,884372.80100000,XVSUSDT
2020-12-17,3.60500000,4.43900000,3.58000000,3.83700000,1704945.09800000,XVSUSDT
2020-12-18,3.83500000,4.20400000,3.65200000,4.11500000,915418.82700000,XVSUSDT
2020-12-19,4.11500000,4.62800000,4.01900000,4.31800000,809104.06900000,XVSUSDT
2020-12-20,4.31900000,4.40000000,3.84900000,4.19800000,774810.68300000,XVSUSDT
2020-12-21,4.19900000,4.62000000,3.90000000,4.15500000,933310.66500000,XVSUSDT
2020-12-22,4.15800000,4.64200000,3.81200000,4.36000000,843238.79600000,XVSUSDT
2020-12-23,4.36000000,4.50000000,3.76600000,3.93600000,544333.01500000,XVSUSDT
2020-12-24,3.93600000,4.15100000,3.75100000,4.03200000,392724.03200000,XVSUSDT
