timestamp,open,high,low,close,symbol
2018-03-20,4e-05,4.1e-05,2.56e-05,3.408e-05,
2018-03-21,3.409e-05,3.45e-05,3.102e-05,3.209e-05,
2018-03-22,3.217e-05,3.468e-05,3.171e-05,3.371e-05,
2018-03-23,3.372e-05,3.4e-05,3.107e-05,3.12e-05,
2018-03-24,3.121e-05,3.282e-05,3.07e-05,3.233e-05,
2018-03-25,3.243e-05,3.71e-05,3.18e-05,3.379e-05,
2018-03-26,3.38e-05,3.404e-05,3.196e-05,3.217e-05,
2018-03-27,3.218e-05,3.252e-05,3.133e-05,3.165e-05,
2018-03-28,3.161e-05,3.212e-05,3.141e-05,3.179e-05,
2018-03-29,3.178e-05,3.231e-05,3.015e-05,3.11e-05,
2018-03-30,3.11e-05,3.256e-05,3.039e-05,3.216e-05,
2018-03-31,3.216e-05,3.231e-05,3.088e-05,3.147e-05,
2018-04-01,3.148e-05,3.172e-05,3.05e-05,3.051e-05,
2018-04-02,3.061e-05,3.253e-05,2.975e-05,3.174e-05,
2018-04-03,3.175e-05,3.492e-05,3.166e-05,3.45e-05,
2018-04-04,3.457e-05,3.517e-05,3.239e-05,3.281e-05,
2018-04-05,3.281e-05,3.5e-05,3.152e-05,3.281e-05,
2018-04-06,3.281e-05,3.313e-05,3.202e-05,3.292e-05,
2018-04-07,3.297e-05,3.3e-05,3.189e-05,3.22e-05,
2018-04-08,3.214e-05,3.377e-05,3.203e-05,3.352e-05,
2018-04-09,3.352e-05,3.42e-05,3.282e-05,3.37e-05,
2018-04-10,3.371e-05,3.444e-05,3.317e-05,3.436e-05,
2018-04-11,3.442e-05,3.552e-05,3.405e-05,3.534e-05,
2018-04-12,3.528e-05,3.6e-05,3.308e-05,3.521e-05,
2018-04-13,3.521e-05,3.85e-05,3.46e-05,3.566e-05,
2018-04-14,3.566e-05,3.864e-05,3.55e-05,3.849e-05,
2018-04-15,3.849e-05,4.33e-05,3.808e-05,4.278e-05,
2018-04-16,4.278e-05,4.507e-05,3.983e-05,4.274e-05,
2018-04-17,4.271e-05,4.361e-05,4.103e-05,4.313e-05,
2018-04-18,4.3e-05,4.7e-05,4.3e-05,4.6e-05,
2018-04-19,4.6e-05,4.755e-05,4.5e-05,4.655e-05,
2018-04-20,4.647e-05,4.729e-05,4.512e-05,4.556e-05,
2018-04-21,4.571e-05,4.66e-05,4.09e-05,4.297e-05,
2018-04-22,4.293e-05,4.5e-05,4.22e-05,4.389e-05,
